Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,9.099900489673018e-05,0.0,0.0,1,512
1,0.0010796360147651285,0.0,2.0,1,512
2,0.0024553239927627146,0.0,4.0,1,512
3,0.0034855859994422644,0.0,6.0,1,512
4,0.003544217994203791,0.0,8.0,1,512
5,0.004402043006848544,2.5,10.0,1,512
6,0.004454148991499096,10.0,12.0,1,512
7,0.004494369990425184,10.0,13.0,1,512
8,0.004532883991487324,10.0,14.0,1,512
9,0.005388662015320733,10.0,15.0,1,512
10,0.005437137006083503,10.0,16.0,1,512
11,0.005478103994391859,10.0,17.0,1,512
12,0.005517281999345869,10.0,18.0,1,512
13,0.005555821000598371,10.0,19.0,1,512
14,0.00559395900927484,10.0,20.0,1,512
15,0.005632387998048216,10.0,21.0,1,512
16,0.005684514995664358,10.0,22.0,1,512
17,0.006682528008241206,10.0,23.0,1,512
18,0.006733923015417531,10.0,24.0,1,512
19,0.006777764006983489,10.0,25.0,1,512
20,0.0068198179942555726,10.0,26.0,1,512
21,0.0068608000001404434,10.0,27.0,1,512
22,0.006901521992404014,10.0,28.0,1,512
23,0.006941947998711839,10.0,29.0,1,512
24,0.006982990016695112,10.0,30.0,1,512
25,0.007024396996712312,10.0,31.0,1,512
26,0.007065462996251881,10.0,32.0,1,512
27,0.007107281009666622,10.0,33.0,1,512
28,0.007149386015953496,10.0,34.0,1,512
29,0.007191254990175366,10.0,35.0,1,512
30,0.007233359996462241,10.0,36.0,1,512
31,0.007275903015397489,10.0,37.0,1,512
32,0.007318276999285445,10.0,38.0,1,512
33,0.008226005011238158,10.0,39.0,1,512
34,0.008280356007162482,10.0,40.0,1,512
35,0.008328077004989609,10.0,41.0,1,512
36,0.008373662014491856,10.0,42.0,1,512
37,0.008418864017585292,10.0,43.0,1,512
38,0.00846333900699392,10.0,44.0,1,512
39,0.008508368016919121,10.0,45.0,1,512
40,0.008553571009542793,10.0,46.0,1,512
41,0.008599449007306248,10.0,47.0,1,512
42,0.008644937013741583,10.0,48.0,1,512
43,0.008691105002071708,10.0,49.0,1,512
44,0.008737411990296096,10.0,50.0,1,512
45,0.008784269011812285,10.0,51.0,1,512
46,0.008831415994791314,10.0,52.0,1,512
47,0.008878880005795509,10.0,53.0,1,512
48,0.008925842004828155,10.0,54.0,1,512
49,0.00897270001587458,10.0,55.0,1,512
50,0.009019794990308583,10.0,56.0,1,512
51,0.00906744401436299,10.0,57.0,1,512
52,0.009115065011428669,10.0,58.0,1,512
53,0.009164189017610624,10.0,59.0,1,512
54,0.009212759992806241,10.0,60.0,1,512
55,0.009261450992198661,10.0,61.0,1,512
56,0.009310401015682146,10.0,62.0,1,512
57,0.009359773015603423,10.0,63.0,1,512
58,0.009409088990651071,10.0,64.0,1,512
59,0.009458410990191624,10.0,65.0,1,512
60,0.00950820100842975,10.0,66.0,1,512
61,0.00955897499807179,10.0,67.0,1,512
62,0.009610233013518155,10.0,68.0,1,512
63,0.009661234013037756,10.0,69.0,1,512
64,0.009712074999697506,10.0,70.0,1,512
65,0.01072227701661177,10.0,71.0,1,512
66,0.010787986015202478,10.0,72.0,1,512
67,0.01084519099094905,10.0,73.0,1,512
68,0.010900095017859712,10.0,74.0,1,512
69,0.010954135010251775,10.0,75.0,1,512
70,0.011007452994817868,10.0,76.0,1,512
71,0.011061530996812508,10.0,77.0,1,512
72,0.011115019005956128,10.0,78.0,1,512
73,0.011169185017934069,10.0,79.0,1,512
74,0.011223270004848018,10.0,80.0,1,512
75,0.011276967998128384,10.0,81.0,1,512
76,0.011331699002766982,10.0,82.0,1,512
77,0.01138934600749053,10.0,83.0,1,512
78,0.011445125011960045,10.0,84.0,1,512
79,0.011499962012749165,10.0,85.0,1,512
80,0.011555834993487224,10.0,86.0,1,512
81,0.011611997993895784,10.0,87.0,1,512
82,0.011667770013445988,10.0,88.0,1,512
83,0.011723556002834812,10.0,89.0,1,512
84,0.011779691994888708,10.0,90.0,1,512
85,0.011836632009362802,10.0,91.0,1,512
86,0.011893612012499943,10.0,92.0,1,512
87,0.011950759013416246,10.0,93.0,1,512
88,0.012008477991912514,10.0,94.0,1,512
89,0.012066650990163907,10.0,95.0,1,512
90,0.012124917993787676,10.0,96.0,1,512
91,0.012183531012851745,10.0,97.0,1,512
92,0.012242880009580404,10.0,98.0,1,512
93,0.012302921008085832,10.0,99.0,1,512
