Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,9.1658002929762e-05,10.0,0.0,1,512
1,0.0011065950093325227,10.0,2.0,1,512
2,0.0022370379883795977,10.0,4.0,1,512
3,0.003327054000692442,12.0,6.0,1,512
4,0.0033791580062825233,14.0,8.0,1,512
5,0.004310774995246902,16.0,10.0,1,512
6,0.004361789004178718,18.0,12.0,1,512
7,0.004402138001751155,18.0,13.0,1,512
8,0.004437360999872908,18.0,14.0,1,512
9,0.005333401000825688,18.0,15.0,1,512
10,0.005378147994633764,18.0,16.0,1,512
11,0.005423719994723797,20.0,18.0,1,512
12,0.005460221000248566,20.0,19.0,1,512
13,0.0054957020038273185,20.0,20.0,1,512
14,0.005540913000004366,18.0,22.0,1,512
15,0.005600162985501811,18.0,24.0,1,512
16,0.005638701986754313,18.0,25.0,1,512
17,0.006724657985614613,18.0,26.0,1,512
18,0.006773461005650461,18.0,27.0,1,512
19,0.006814121006755158,18.0,28.0,1,512
20,0.006862621987238526,16.0,30.0,1,512
21,0.006909836985869333,16.0,32.0,1,512
22,0.0069465209962800145,16.0,33.0,1,512
23,0.006983778002904728,16.0,34.0,1,512
24,0.007020782999461517,16.0,35.0,1,512
25,0.007065170007990673,17.0,37.0,1,512
26,0.007102492003468797,17.0,38.0,1,512
27,0.00715035799657926,17.0,40.0,1,512
28,0.007195309008238837,19.0,42.0,1,512
29,0.007233395997900516,19.0,43.0,1,512
30,0.007282317004865035,19.0,45.0,1,512
31,0.007320623000850901,19.0,46.0,1,512
32,0.007359829003689811,19.0,47.0,1,512
33,0.008282269991468638,19.0,48.0,1,512
34,0.008344579982804134,19.0,50.0,1,512
35,0.00838923899573274,19.0,51.0,1,512
36,0.008441524987574667,19.0,53.0,1,512
37,0.00848289899295196,19.0,54.0,1,512
38,0.008530885999789461,20.0,56.0,1,512
39,0.008571537997340783,20.0,57.0,1,512
40,0.00862284901086241,20.0,59.0,1,512
41,0.008664708002470434,20.0,60.0,1,512
42,0.008706136984983459,20.0,61.0,1,512
43,0.008758104988373816,20.0,63.0,1,512
44,0.008799579984042794,20.0,64.0,1,512
45,0.008841995993861929,20.0,65.0,1,512
46,0.00888471698272042,20.0,66.0,1,512
47,0.008927549002692103,20.0,67.0,1,512
48,0.008970755006885156,20.0,68.0,1,512
49,0.009014053997816518,20.0,69.0,1,512
50,0.009067407983820885,20.0,71.0,1,512
51,0.00912130600772798,20.0,73.0,1,512
52,0.009165627008769661,20.0,74.0,1,512
53,0.009210333984810859,20.0,75.0,1,512
54,0.009255060984287411,20.0,76.0,1,512
55,0.009300009987782687,20.0,77.0,1,512
56,0.009344914986286312,20.0,78.0,1,512
57,0.009389832004671916,20.0,79.0,1,512
58,0.009445514995604753,20.0,81.0,1,512
59,0.009491503005847335,20.0,82.0,1,512
60,0.009548456990160048,20.0,84.0,1,512
61,0.009604516992112622,20.0,86.0,1,512
62,0.009651339001720771,20.0,87.0,1,512
63,0.009697889996459708,20.0,88.0,1,512
64,0.009755037986906245,20.0,90.0,1,512
65,0.010766122984932736,21.0,92.0,1,512
66,0.010826320009073243,21.0,93.0,1,512
67,0.010890453995671123,21.0,95.0,1,512
68,0.010951395990559831,21.0,97.0,1,512
69,0.011000937985954806,21.0,98.0,1,512
70,0.011050634988350794,21.0,99.0,1,512
71,0.011100475006969646,21.0,100.0,1,512
72,0.011150384991196916,21.0,101.0,1,512
73,0.011210463009774685,21.0,103.0,1,512
74,0.011260775005212054,21.0,104.0,1,512
75,0.011311751004541293,21.0,105.0,1,512
76,0.011362727003870532,21.0,106.0,1,512
77,0.011415405984735116,21.0,107.0,1,512
78,0.011467025993624702,21.0,108.0,1,512
79,0.011518276005517691,21.0,109.0,1,512
80,0.0115694819833152,21.0,110.0,1,512
81,0.011621109995758161,21.0,111.0,1,512
82,0.011673147993860766,21.0,112.0,1,512
83,0.011735743988538161,21.0,114.0,1,512
84,0.01178839398198761,21.0,115.0,1,512
85,0.01184176400420256,21.0,116.0,1,512
86,0.011895264993654564,21.0,117.0,1,512
87,0.011948664992814884,21.0,118.0,1,512
88,0.012002012983430177,21.0,119.0,1,512
89,0.012055689003318548,21.0,120.0,1,512
90,0.012109620001865551,21.0,121.0,1,512
91,0.012173441995400935,21.0,123.0,1,512
92,0.012228389998199418,21.0,124.0,1,512
93,0.012294226995436475,21.0,126.0,1,512
94,0.012359716987702996,21.0,128.0,1,512
95,0.01241544701042585,21.0,129.0,1,512
96,0.0124712850083597,21.0,130.0,1,512
97,0.012526774982688949,21.0,131.0,1,512
98,0.012582848983583972,21.0,132.0,1,512
99,0.012639227003091946,21.0,133.0,1,512
100,0.012706150009762496,21.0,135.0,1,512
101,0.012763626989908516,21.0,136.0,1,512
102,0.012820839998312294,21.0,137.0,1,512
103,0.012877950008260086,21.0,138.0,1,512
104,0.01293537998571992,21.0,139.0,1,512
105,0.01299345400184393,21.0,140.0,1,512
106,0.013051358982920647,21.0,141.0,1,512
107,0.013109115010593086,21.0,142.0,1,512
108,0.013168693985790014,21.0,143.0,1,512
109,0.013228956988314167,21.0,144.0,1,512
110,0.013288235000800341,21.0,145.0,1,512
111,0.013347047992283478,21.0,146.0,1,512
112,0.013406209007371217,21.0,147.0,1,512
113,0.013465842988807708,21.0,148.0,1,512
114,0.013525894988561049,21.0,149.0,1,512
115,0.013585501001216471,21.0,150.0,1,512
116,0.013645394006744027,21.0,151.0,1,512
117,0.013705807999940589,21.0,152.0,1,512
118,0.013777719985228032,21.0,154.0,1,512
119,0.01383931198506616,21.0,155.0,1,512
120,0.013901074009481817,21.0,156.0,1,512
121,0.013962733995867893,21.0,157.0,1,512
122,0.01402451700414531,21.0,158.0,1,512
123,0.014086520008277148,21.0,159.0,1,512
124,0.014149249996989965,21.0,160.0,1,512
125,0.014211918984074146,21.0,161.0,1,512
126,0.014290104998508468,21.0,162.0,1,512
127,0.014361067005665973,21.0,163.0,1,512
128,0.014424961002077907,21.0,164.0,1,512
129,0.015563674998702481,21.0,165.0,1,512
130,0.015639580000424758,21.0,166.0,1,512
131,0.015708716993685812,21.0,167.0,1,512
132,0.015775643987581134,21.0,168.0,1,512
133,0.01584164798259735,21.0,169.0,1,512
134,0.015907666995190084,21.0,170.0,1,512
135,0.01597313300590031,21.0,171.0,1,512
136,0.01604959199903533,21.0,173.0,1,512
137,0.01611612900160253,21.0,174.0,1,512
138,0.016183120984351262,21.0,175.0,1,512
139,0.016249567008344457,21.0,176.0,1,512
140,0.0163337429985404,21.0,177.0,1,512
