Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
0,0.0030505800095852464,11.0,150.0,False,150,0.25,512,True
1,0.21344109901110642,20.0,302.0,False,150,0.25,512,True
2,0.44776224199449643,20.0,453.0,False,150,0.25,512,True
3,0.6803982589917723,23.0,605.0,False,150,0.25,512,True
4,0.910434091987554,23.0,756.0,False,150,0.25,512,True
5,1.1424903009901755,23.0,907.0,False,150,0.25,512,True
6,1.3735022379842121,23.0,1058.0,False,150,0.25,512,True
7,1.6044660579937045,23.0,1209.0,False,150,0.25,512,True
8,1.836020696995547,23.0,1360.0,False,150,0.25,512,True
9,2.069256815011613,23.0,1511.0,False,150,0.25,512,True
10,2.30316086098901,23.0,1662.0,False,150,0.25,512,True
11,2.5366213000088464,23.0,1813.0,False,150,0.25,512,True
12,2.7700316359987482,23.0,1964.0,False,150,0.25,512,True
13,3.0033050600031856,23.0,2115.0,False,150,0.25,512,True
14,3.237651455012383,23.0,2266.0,False,150,0.25,512,True
15,3.4708806379931048,23.0,2417.0,False,150,0.25,512,True
16,3.7053658299846575,23.0,2568.0,False,150,0.25,512,True
17,3.940729884983739,23.0,2719.0,False,150,0.25,512,True
18,4.173031089012511,23.0,2870.0,False,150,0.25,512,True
19,4.405763888993533,23.0,3021.0,False,150,0.25,512,True
20,4.638181799004087,23.0,3172.0,False,150,0.25,512,True
21,4.871905650012195,23.0,3323.0,False,150,0.25,512,True
22,5.104980258009164,23.0,3474.0,False,150,0.25,512,True
23,5.337171366001712,23.0,3625.0,False,150,0.25,512,True
24,5.557965760002844,23.0,3776.0,False,150,0.25,512,True
25,5.7792171759938356,23.0,3927.0,False,150,0.25,512,True
26,6.002667035994818,23.0,4078.0,False,150,0.25,512,True
27,6.224160819983808,23.0,4229.0,False,150,0.25,512,True
28,6.446336988010444,23.0,4380.0,False,150,0.25,512,True
29,6.672461965994444,23.0,4531.0,False,150,0.25,512,True
30,6.893293750996236,23.0,4682.0,False,150,0.25,512,True
31,7.115090412000427,23.0,4833.0,False,150,0.25,512,True
32,7.335725317010656,23.0,4984.0,False,150,0.25,512,True
33,7.557968281995272,23.0,5135.0,False,150,0.25,512,True
34,7.780965785001172,23.0,5286.0,False,150,0.25,512,True
35,8.006735681992723,23.0,5437.0,False,150,0.25,512,True
36,8.230652497004485,23.0,5588.0,False,150,0.25,512,True
37,8.454452750011114,23.0,5739.0,False,150,0.25,512,True
38,8.67844014998991,23.0,5890.0,False,150,0.25,512,True
39,8.901525021996349,23.0,6041.0,False,150,0.25,512,True
40,9.123340788995847,23.0,6192.0,False,150,0.25,512,True
41,9.344491908006603,23.0,6343.0,False,150,0.25,512,True
42,9.565690930001438,23.0,6494.0,False,150,0.25,512,True
43,9.788331004994689,23.0,6645.0,False,150,0.25,512,True
44,10.010445041989442,23.0,6796.0,False,150,0.25,512,True
45,10.234233453986235,23.0,6947.0,False,150,0.25,512,True
46,10.458579572994495,23.0,7098.0,False,150,0.25,512,True
47,10.68221767700743,23.0,7249.0,False,150,0.25,512,True
48,10.906647683004849,23.0,7400.0,False,150,0.25,512,True
49,11.128497035009786,23.0,7551.0,False,150,0.25,512,True
50,11.35092653898755,23.0,7702.0,False,150,0.25,512,True
51,11.57372309701168,23.0,7853.0,False,150,0.25,512,True
52,11.800163687003078,23.0,8004.0,False,150,0.25,512,True
53,12.024862644990208,23.0,8155.0,False,150,0.25,512,True
54,12.248992395005189,23.0,8306.0,False,150,0.25,512,True
55,12.47339452500455,23.0,8457.0,False,150,0.25,512,True
56,12.69858805500553,23.0,8608.0,False,150,0.25,512,True
57,12.92292024201015,23.0,8759.0,False,150,0.25,512,True
58,13.144491301005473,23.0,8910.0,False,150,0.25,512,True
59,13.36604306299705,23.0,9061.0,False,150,0.25,512,True
60,13.58754523700918,23.0,9212.0,False,150,0.25,512,True
61,13.81004107699846,23.0,9363.0,False,150,0.25,512,True
62,14.035219743993366,23.0,9514.0,False,150,0.25,512,True
63,14.25923139299266,23.0,9665.0,False,150,0.25,512,True
64,14.48271947199828,23.0,9816.0,False,150,0.25,512,True
65,14.707109824987128,23.0,9967.0,False,150,0.25,512,True
66,14.932553327002097,23.0,10118.0,False,150,0.25,512,True
67,15.157124260003911,23.0,10269.0,False,150,0.25,512,True
68,15.380803534993902,23.0,10420.0,False,150,0.25,512,True
69,15.608584111003438,23.0,10571.0,False,150,0.25,512,True
70,15.832154829986393,23.0,10722.0,False,150,0.25,512,True
71,16.057400402001804,23.0,10873.0,False,150,0.25,512,True
72,16.27979206299642,23.0,11024.0,False,150,0.25,512,True
73,16.50316818698775,23.0,11175.0,False,150,0.25,512,True
74,16.731991884997115,23.0,11326.0,False,150,0.25,512,True
75,16.955580261012074,23.0,11477.0,False,150,0.25,512,True
76,17.178269867989002,23.0,11628.0,False,150,0.25,512,True
77,17.399915287998738,23.0,11779.0,False,150,0.25,512,True
78,17.618610634992365,23.0,11930.0,False,150,0.25,512,True
79,17.836638134001987,23.0,12081.0,False,150,0.25,512,True
80,18.049974663998,23.0,12232.0,False,150,0.25,512,True
81,18.26937556298799,23.0,12383.0,False,150,0.25,512,True
82,18.490450362005504,23.0,12534.0,False,150,0.25,512,True
83,18.708456350985216,23.0,12685.0,False,150,0.25,512,True
84,18.927992773998994,23.0,12836.0,False,150,0.25,512,True
85,19.14763740100898,23.0,12987.0,False,150,0.25,512,True
86,19.36598668899387,23.0,13138.0,False,150,0.25,512,True
87,19.584355350991245,23.0,13289.0,False,150,0.25,512,True
88,19.800857613008702,23.0,13440.0,False,150,0.25,512,True
89,20.019289391988423,23.0,13591.0,False,150,0.25,512,True
90,20.23615596900345,23.0,13742.0,False,150,0.25,512,True
91,20.453699609992327,23.0,13893.0,False,150,0.25,512,True
92,20.67206862900639,23.0,14044.0,False,150,0.25,512,True
93,20.889046613010578,23.0,14195.0,False,150,0.25,512,True
94,21.106235426996136,23.0,14346.0,False,150,0.25,512,True
95,21.32291611400433,23.0,14497.0,False,150,0.25,512,True
96,21.540634536999278,23.0,14648.0,False,150,0.25,512,True
97,21.758659835002618,23.0,14799.0,False,150,0.25,512,True
98,21.980608865997056,23.0,14950.0,False,150,0.25,512,True
99,22.201564304996282,23.0,15101.0,False,150,0.25,512,True
100,22.422072291985387,23.0,15252.0,False,150,0.25,512,True
101,22.641657786007272,23.0,15403.0,False,150,0.25,512,True
102,22.86119018800673,23.0,15554.0,False,150,0.25,512,True
103,23.082150584988995,23.0,15705.0,False,150,0.25,512,True
104,23.3010824410012,23.0,15856.0,False,150,0.25,512,True
105,23.51807288400596,23.0,16007.0,False,150,0.25,512,True
106,23.73394761799136,23.0,16158.0,False,150,0.25,512,True
107,23.950333131011575,23.0,16309.0,False,150,0.25,512,True
108,24.16648317500949,23.0,16460.0,False,150,0.25,512,True
109,24.386224543995922,23.0,16611.0,False,150,0.25,512,True
110,24.606276261998573,23.0,16762.0,False,150,0.25,512,True
111,24.82621574201039,23.0,16913.0,False,150,0.25,512,True
112,25.046773459995165,23.0,17064.0,False,150,0.25,512,True
113,25.26742990000639,23.0,17215.0,False,150,0.25,512,True
114,25.486818990000756,23.0,17366.0,False,150,0.25,512,True
115,25.707105626992416,23.0,17517.0,False,150,0.25,512,True
116,25.926963092992082,23.0,17668.0,False,150,0.25,512,True
117,26.148569359997055,23.0,17819.0,False,150,0.25,512,True
118,26.367215715989005,23.0,17970.0,False,150,0.25,512,True
119,26.585546640009852,23.0,18121.0,False,150,0.25,512,True
120,26.804056494001998,23.0,18272.0,False,150,0.25,512,True
121,27.02236092899693,23.0,18423.0,False,150,0.25,512,True
122,27.24026768899057,23.0,18574.0,False,150,0.25,512,True
123,27.458129311999073,23.0,18725.0,False,150,0.25,512,True
124,27.68215381799382,23.0,18876.0,False,150,0.25,512,True
125,27.90219005200197,23.0,19027.0,False,150,0.25,512,True
126,28.123495128005743,23.0,19178.0,False,150,0.25,512,True
127,28.342377443012083,23.0,19329.0,False,150,0.25,512,True
128,28.56053195000277,23.0,19480.0,False,150,0.25,512,True
129,28.78178198900423,23.0,19631.0,False,150,0.25,512,True
130,28.998980300006224,23.0,19782.0,False,150,0.25,512,True
131,29.217376662010793,23.0,19933.0,False,150,0.25,512,True
132,29.433256098011043,23.0,20084.0,False,150,0.25,512,True
133,29.65005023800768,23.0,20235.0,False,150,0.25,512,True
134,29.866708076006034,23.0,20386.0,False,150,0.25,512,True
135,30.08484586700797,23.0,20537.0,False,150,0.25,512,True
136,30.30287557299016,23.0,20688.0,False,150,0.25,512,True
137,30.520143156987615,23.0,20839.0,False,150,0.25,512,True
138,30.739244439988397,23.0,20990.0,False,150,0.25,512,True
139,30.957805215002736,23.0,21141.0,False,150,0.25,512,True
140,31.17731204300071,23.0,21292.0,False,150,0.25,512,True
141,31.39643362199422,23.0,21443.0,False,150,0.25,512,True
142,31.61380759999156,23.0,21594.0,False,150,0.25,512,True
143,31.830936426005792,23.0,21745.0,False,150,0.25,512,True
144,32.05154762600432,23.0,21896.0,False,150,0.25,512,True
145,32.26810371299507,23.0,22047.0,False,150,0.25,512,True
146,32.48444947099779,23.0,22198.0,False,150,0.25,512,True
147,32.700797249010066,23.0,22349.0,False,150,0.25,512,True
148,32.91704117500922,23.0,22500.0,False,150,0.25,512,True
149,33.13373664498795,23.0,22651.0,False,150,0.25,512,True
150,33.34991117400932,23.0,22802.0,False,150,0.25,512,True
151,33.56627344500157,23.0,22953.0,False,150,0.25,512,True
152,33.782687066996004,23.0,23104.0,False,150,0.25,512,True
153,34.0006964780041,23.0,23255.0,False,150,0.25,512,True
154,34.217393801984144,23.0,23406.0,False,150,0.25,512,True
155,34.434051338990685,23.0,23557.0,False,150,0.25,512,True
156,34.651905796985375,23.0,23708.0,False,150,0.25,512,True
157,34.868696727004135,23.0,23859.0,False,150,0.25,512,True
158,35.08863674799795,23.0,24010.0,False,150,0.25,512,True
159,35.305956912983675,23.0,24161.0,False,150,0.25,512,True
160,35.5226664019865,23.0,24312.0,False,150,0.25,512,True
161,35.73989718698431,23.0,24463.0,False,150,0.25,512,True
162,35.95645257399883,23.0,24614.0,False,150,0.25,512,True
163,36.173450406000484,23.0,24765.0,False,150,0.25,512,True
164,36.390990354993846,23.0,24916.0,False,150,0.25,512,True
165,36.607695712998975,23.0,25067.0,False,150,0.25,512,True
166,36.82756190598593,23.0,25218.0,False,150,0.25,512,True
167,37.04392029400333,23.0,25369.0,False,150,0.25,512,True
168,37.26051816099789,23.0,25520.0,False,150,0.25,512,True
169,37.47728029699647,23.0,25671.0,False,150,0.25,512,True
170,37.69369362699217,23.0,25822.0,False,150,0.25,512,True
171,37.91189237500657,23.0,25973.0,False,150,0.25,512,True
172,38.12882667599479,23.0,26124.0,False,150,0.25,512,True
173,38.34588166998583,23.0,26275.0,False,150,0.25,512,True
174,38.565132772986544,23.0,26426.0,False,150,0.25,512,True
